date,1. open,2. high,3. low,4. close,5. volume
2024-09-24 18:20:00,571.26,571.27,571.21,571.235,210.0
2024-09-24 18:19:00,571.25,571.26,571.23,571.26,12.0
2024-09-24 18:18:00,571.25,571.31,571.25,571.26,243.0
2024-09-24 18:17:00,571.255,571.3,571.2101,571.2101,13.0
2024-09-24 18:16:00,571.29,571.3,571.21,571.255,40.0
2024-09-24 18:15:00,571.33,571.34,571.23,571.265,3698.0
2024-09-24 18:14:00,571.23,571.34,571.23,571.33,2740.0
2024-09-24 18:13:00,571.34,571.34,571.26,571.26,622.0
2024-09-24 18:12:00,571.36,571.36,571.3,571.32,23.0
2024-09-24 18:11:00,571.31,571.36,571.3,571.3,209.0
2024-09-24 18:10:00,571.245,571.3672,571.23,571.265,1265.0
2024-09-24 18:09:00,571.235,571.26,571.21,571.245,286.0
2024-09-24 18:08:00,571.21,571.25,571.21,571.235,18.0
2024-09-24 18:07:00,571.225,571.28,571.21,571.245,119.0
2024-09-24 18:06:00,571.215,571.24,571.21,571.24,22.0
2024-09-24 18:05:00,571.21,571.24,571.21,571.22,360.0
2024-09-24 18:04:00,571.215,571.26,571.21,571.23,660.0
2024-09-24 18:03:00,571.3,571.33,571.2,571.205,4837.0
2024-09-24 18:02:00,571.29,571.3,571.26,571.28,225.0
2024-09-24 18:01:00,571.28,571.32,571.2,571.32,2060.0
2024-09-24 18:00:00,571.27,571.39,571.27,571.31,668.0
2024-09-24 17:59:00,571.26,571.26,571.22,571.26,35.0
2024-09-24 17:58:00,571.235,571.27,571.2,571.26,52.0
2024-09-24 17:57:00,571.235,571.27,571.2,571.27,172.0
2024-09-24 17:56:00,571.235,571.27,571.235,571.24,105.0
2024-09-24 17:55:00,571.235,571.27,571.2,571.235,153.0
2024-09-24 17:54:00,571.24,571.27,571.2,571.235,522.0
2024-09-24 17:53:00,571.23,571.25,571.23,571.235,7.0
2024-09-24 17:52:00,571.24,571.25,571.2,571.23,591.0
2024-09-24 17:51:00,571.235,571.27,571.2017,571.235,192.0
2024-09-24 17:50:00,571.235,571.27,571.2,571.235,296.0
2024-09-24 17:49:00,571.24,571.27,571.2,571.235,5187.0
2024-09-24 17:48:00,571.2297,571.235,571.2,571.235,9381.0
2024-09-24 17:47:00,571.25,571.27,571.2,571.225,876.0
2024-09-24 17:46:00,571.22,571.25,571.22,571.25,104.0
2024-09-24 17:45:00,571.245,571.27,571.2,571.245,230.0
2024-09-24 17:44:00,571.235,571.26,571.2,571.2,71.0
2024-09-24 17:43:00,571.235,571.27,571.235,571.235,19.0
2024-09-24 17:42:00,571.22,571.27,571.2,571.235,3174.0
2024-09-24 17:41:00,571.22,571.24,571.2,571.22,78.0
2024-09-24 17:40:00,571.22,571.24,571.21,571.24,24.0
2024-09-24 17:39:00,571.2,571.24,571.2,571.22,29.0
2024-09-24 17:38:00,571.2,571.24,571.2,571.22,179.0
2024-09-24 17:37:00,571.22,571.22,571.2,571.2175,84.0
2024-09-24 17:36:00,571.22,571.24,571.2,571.22,63.0
2024-09-24 17:35:00,571.2,571.24,571.2,571.24,332.0
2024-09-24 17:34:00,571.22,571.24,571.2,571.21,107.0
2024-09-24 17:33:00,571.24,571.24,571.2,571.21,1192.0
2024-09-24 17:32:00,571.22,571.24,571.21,571.22,124.0
2024-09-24 17:31:00,571.22,571.24,571.2,571.22,39.0
2024-09-24 17:30:00,571.22,571.24,571.2,571.24,150.0
2024-09-24 17:29:00,571.24,571.24,571.22,571.22,37.0
2024-09-24 17:28:00,571.21,571.3,571.2,571.24,5964.0
2024-09-24 17:27:00,571.22,571.24,571.22,571.22,313.0
2024-09-24 17:26:00,571.22,571.23,571.2,571.2,41.0
2024-09-24 17:25:00,571.24,571.24,571.2,571.22,17.0
2024-09-24 17:24:00,571.24,571.24,571.21,571.22,622.0
2024-09-24 17:23:00,571.24,571.26,571.24,571.24,120.0
2024-09-24 17:22:00,571.25,571.28,571.24,571.255,519.0
2024-09-24 17:21:00,571.25,571.26,571.24,571.26,9.0
2024-09-24 17:20:00,571.24,571.25,571.24,571.25,330.0
2024-09-24 17:19:00,571.24,571.2717,571.2,571.22,172.0
2024-09-24 17:18:00,571.23,571.25,571.21,571.25,159.0
2024-09-24 17:17:00,571.21,571.24,571.21,571.24,95.0
2024-09-24 17:16:00,571.23,571.24,571.21,571.23,506.0
2024-09-24 17:15:00,571.25,571.25,571.23,571.2395,6.0
2024-09-24 17:14:00,571.24,571.25,571.23,571.23,188.0
2024-09-24 17:13:00,571.23,571.2493,571.23,571.23,125.0
2024-09-24 17:12:00,571.2,571.25,571.2,571.23,7768.0
2024-09-24 17:11:00,571.2201,571.2201,571.2,571.2,4921.0
2024-09-24 17:10:00,571.22,571.25,571.22,571.2201,178.0
2024-09-24 17:09:00,571.21,571.25,571.2,571.22,559.0
2024-09-24 17:08:00,571.235,571.3,571.21,571.25,1556.0
2024-09-24 17:07:00,571.2,571.25,571.2,571.235,100.0
2024-09-24 17:06:00,571.22,571.25,571.2,571.21,92.0
2024-09-24 17:05:00,571.3,571.3,571.22,571.25,276710.0
2024-09-24 17:04:00,571.25,571.3,571.2,571.22,59.0
2024-09-24 17:03:00,571.215,571.3,571.21,571.3,1052.0
2024-09-24 17:02:00,571.21,571.22,571.2001,571.2001,525.0
2024-09-24 17:01:00,571.2,571.25,571.2,571.2,26.0
2024-09-24 17:00:00,571.2,571.235,571.2,571.21,591.0
2024-09-24 16:59:00,571.26,571.26,571.2,571.22,10149.0
2024-09-24 16:58:00,571.24,571.27,571.24,571.255,13.0
2024-09-24 16:57:00,571.3,571.3,571.245,571.2685,2441.0
2024-09-24 16:56:00,571.3,571.3,571.25,571.29,79.0
2024-09-24 16:55:00,571.28,571.3,571.27,571.3,10239.0
2024-09-24 16:54:00,571.25,571.275,533.01,571.275,22899.0
2024-09-24 16:53:00,571.24,571.25,571.23,571.24,545.0
2024-09-24 16:52:00,571.25,571.25,571.235,571.25,62.0
2024-09-24 16:51:00,571.24,571.26,571.24,571.26,408.0
2024-09-24 16:50:00,571.27,571.27,533.01,571.23,353.0
2024-09-24 16:49:00,571.28,571.29,570.6951,571.29,8231.0
2024-09-24 16:48:00,571.28,571.28,571.25,571.275,2962.0
2024-09-24 16:47:00,571.27,571.28,571.25,571.28,907.0
2024-09-24 16:46:00,571.27,571.29,571.27,571.27,2851.0
2024-09-24 16:45:00,571.285,571.3,571.27,571.275,1483.0
2024-09-24 16:44:00,571.3,571.31,571.2995,571.2995,2114.0
2024-09-24 16:43:00,571.31,571.33,571.3,571.31,10835.0
2024-09-24 16:42:00,571.285,571.32,571.28,571.3,13360.0
2024-09-24 16:41:00,571.2702,571.32,571.2702,571.285,1344.0
2024-09-24 16:40:00,571.305,571.305,571.28,571.28,3988.0
2024-09-24 16:39:00,571.33,571.34,571.25,571.32,4180.0
2024-09-24 16:38:00,571.36,571.37,571.31,571.32,11962.0
2024-09-24 16:37:00,571.35,571.4,571.34,571.36,13282.0
2024-09-24 16:36:00,571.31,571.37,571.29,571.34,1277.0
2024-09-24 16:35:00,571.25,571.33,571.23,571.31,8639.0
2024-09-24 16:34:00,571.2385,571.26,571.22,571.25,193.0
2024-09-24 16:33:00,571.22,571.23,571.2115,571.23,1876.0
2024-09-24 16:32:00,571.235,571.26,571.2,571.22,17716.0
2024-09-24 16:31:00,571.245,571.25,571.23,571.235,578.0
2024-09-24 16:30:00,571.22,571.26,571.17,571.245,11784.0
2024-09-24 16:29:00,571.19,571.3,571.1609,571.27,34671.0
2024-09-24 16:28:00,571.18,571.21,571.16,571.18,3660.0
2024-09-24 16:27:00,571.185,571.19,571.18,571.185,1169.0
2024-09-24 16:26:00,571.18,571.195,571.006,571.185,96545.0
2024-09-24 16:25:00,571.2,571.21,571.17,571.195,2563.0
2024-09-24 16:24:00,571.155,571.2,571.155,571.18,1473.0
2024-09-24 16:23:00,571.17,571.1785,571.15,571.155,1669.0
2024-09-24 16:22:00,571.12,571.3,571.12,571.15,11669.0
2024-09-24 16:21:00,571.13,571.15,571.11,571.13,18444.0
2024-09-24 16:20:00,571.13,571.3,571.11,571.16,19796.0
2024-09-24 16:19:00,571.11,571.14,571.09,571.11,27701.0
2024-09-24 16:18:00,571.09,571.1185,571.09,571.11,3090.0
2024-09-24 16:17:00,571.11,571.11,568.1801,568.1801,2430.0
2024-09-24 16:16:00,571.14,571.16,571.1,571.1,9245.0
2024-09-24 16:15:00,571.04,571.3,571.04,571.13,8306.0
2024-09-24 16:14:00,571.03,571.04,571.0,571.0301,7864.0
2024-09-24 16:13:00,571.04,571.06,569.5741,571.025,2563765.0
2024-09-24 16:12:00,570.97,571.04,570.94,571.01,38603.0
2024-09-24 16:11:00,570.89,571.0062,570.88,570.97,25249.0
2024-09-24 16:10:00,571.3,571.3,570.86,570.88,2206681.0
2024-09-24 16:09:00,570.935,570.935,570.85,570.88,21847.0
2024-09-24 16:08:00,570.98,571.0,570.9,570.93,15349.0
2024-09-24 16:07:00,570.93,571.02,570.9,571.02,83201.0
2024-09-24 16:06:00,570.94,570.97,570.92,570.92,31025.0
2024-09-24 16:05:00,570.92,571.02,570.88,570.92,1471950.0
2024-09-24 16:04:00,571.08,571.3,570.91,570.92,452479.0
2024-09-24 16:03:00,571.09,571.1,570.312,571.08,9969.0
2024-09-24 16:02:00,571.09,571.3,571.05,571.07,330901.0
2024-09-24 16:01:00,569.5741,571.3,569.5741,571.08,1342578.0
2024-09-24 16:00:00,571.24,571.36,571.05,571.09,4705505.0
2024-09-24 15:59:00,570.78,571.36,570.77,571.24,3342194.0
2024-09-24 15:58:00,570.76,570.89,570.73,570.7801,975103.0
2024-09-24 15:57:00,570.78,570.82,570.72,570.75,587216.0
2024-09-24 15:56:00,570.69,570.832,570.6,570.77,820375.0
2024-09-24 15:55:00,570.55,570.6999,570.38,570.69,614891.0
2024-09-24 15:54:00,570.79,570.8301,570.47,570.5509,199613.0
2024-09-24 15:53:00,570.78,570.83,570.68,570.79,132738.0
2024-09-24 15:52:00,570.73,570.795,570.63,570.785,160390.0
2024-09-24 15:51:00,570.7,570.84,570.64,570.735,405490.0
2024-09-24 15:50:00,570.7,570.81,570.61,570.7,186342.0
2024-09-24 15:49:00,570.71,570.76,570.65,570.69,103629.0
2024-09-24 15:48:00,570.66,570.82,570.66,570.71,118242.0
2024-09-24 15:47:00,570.6,570.69,570.53,570.66,102268.0
2024-09-24 15:46:00,570.65,570.66,570.59,570.61,78322.0
2024-09-24 15:45:00,570.56,570.71,570.5495,570.66,225782.0
2024-09-24 15:44:00,570.62,570.63,570.52,570.56,104966.0
2024-09-24 15:43:00,570.705,570.71,570.5796,570.61,91357.0
2024-09-24 15:42:00,570.66,570.71,570.58,570.705,78289.0
2024-09-24 15:41:00,570.535,570.75,570.53,570.67,294889.0
2024-09-24 15:40:00,570.49,570.57,570.45,570.54,138862.0
2024-09-24 15:39:00,570.43,570.52,570.395,570.49,74329.0
2024-09-24 15:38:00,570.47,570.57,570.4,570.4209,105131.0
2024-09-24 15:37:00,570.43,570.47,570.38,570.47,52171.0
2024-09-24 15:36:00,570.5,570.57,570.38,570.43,78511.0
2024-09-24 15:35:00,570.49,570.49,570.39,570.49,75708.0
2024-09-24 15:34:00,570.52,570.555,570.44,570.49,150684.0
2024-09-24 15:33:00,570.595,570.6,570.47,570.53,65453.0
2024-09-24 15:32:00,570.54,570.645,570.5,570.62,186566.0
2024-09-24 15:31:00,570.56,570.65,570.52,570.54,56349.0
2024-09-24 15:30:00,570.64,570.64,570.45,570.5575,92699.0
2024-09-24 15:29:00,570.67,570.68,570.59,570.6399,47368.0
2024-09-24 15:28:00,570.695,570.71,570.5822,570.67,50615.0
2024-09-24 15:27:00,570.67,570.725,570.64,570.6916,36231.0
2024-09-24 15:26:00,570.65,570.73,570.62,570.6701,67524.0
2024-09-24 15:25:00,570.68,570.73,570.62,570.66,56472.0
2024-09-24 15:24:00,570.59,570.75,570.59,570.68,206664.0
2024-09-24 15:23:00,570.64,570.65,570.51,570.57,50880.0
2024-09-24 15:22:00,570.671,570.68,570.56,570.6399,51673.0
2024-09-24 15:21:00,570.64,570.72,570.626,570.67,60371.0
2024-09-24 15:20:00,570.58,570.64,570.54,570.64,87587.0
2024-09-24 15:19:00,570.53,570.62,570.4801,570.58,41660.0
2024-09-24 15:18:00,570.53,570.595,570.41,570.51,84891.0
2024-09-24 15:17:00,570.73,570.73,570.47,570.53,187805.0
2024-09-24 15:16:00,570.69,570.74,570.59,570.72,104506.0
2024-09-24 15:15:00,570.55,570.72,570.53,570.71,257984.0
2024-09-24 15:14:00,570.53,570.64,570.49,570.57,158631.0
2024-09-24 15:13:00,570.57,570.59,570.5,570.53,24437.0
2024-09-24 15:12:00,570.6,570.615,570.45,570.56,94174.0
2024-09-24 15:11:00,570.71,570.71,570.5,570.59,414950.0
2024-09-24 15:10:00,570.6,570.715,570.551,570.71,85135.0
2024-09-24 15:09:00,570.7,570.7,570.61,570.61,48406.0
2024-09-24 15:08:00,570.59,570.74,570.58,570.69,58491.0
2024-09-24 15:07:00,570.6399,570.6399,570.52,570.59,49903.0
2024-09-24 15:06:00,570.56,570.68,570.56,570.6409,72354.0
2024-09-24 15:05:00,570.56,570.6,570.53,570.56,62221.0
